dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.119856,17917136837.200733,0.055812,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120296,17851638409.883038,0.056017,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.119556,17962144475.744705,0.055673,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120459,17827571267.422203,0.056093,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120669,17796533629.533768,0.056191,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120120,17877837006.744961,0.055935,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120164,17871248947.591824,0.055956,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120190,17867476962.277672,0.055968,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120802,17776954150.558735,0.056253,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120108,17879639239.423111,0.055930,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120636,17801348552.150921,0.056176,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120369,17840867668.742138,0.056051,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120427,17832170277.499950,0.056078,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.121087,17735078681.797661,0.056385,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,256,0,67108864,-1,0.120091,17882190468.336243,0.055922,0.000000,0.001024,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.252639,8500199484.369688,0.117644,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.250738,8564650993.696040,0.116759,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.251081,8552940929.951597,0.116919,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.252121,8517678847.838278,0.117403,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.250909,8558829432.105876,0.116838,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.252409,8507953625.041615,0.117537,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.250270,8580683019.396384,0.116541,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.250702,8565886430.492228,0.116742,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.251276,8546317803.925609,0.117009,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.250885,8559618059.019846,0.116828,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.251691,8532223349.835160,0.117203,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.250992,8555988457.132602,0.116877,0.000000,0.002048,0.000000
